,,BRISC,,,Cached RISC V,,,SERV,,
Clock Period (ns),Clock Frequency (Mhz),Power (W),Area (μm),Timing (ps),Power (W),Area (μm),Timing (ps),Power (W),Area (μm),Timing (ps)
208,4.807692308,6.03E-03,17137280,86899,8.57E-03,35727040,74803,8.86E-04,1525600,181999
199,5.025125628,6.30E-03,17138240,82399,8.96E-03,35733120,66752,9.26E-04,1525600,172999
190,5.263157895,6.60E-03,17140480,77899,9.38E-03,35734720,57745,9.70E-04,1525600,163999
181,5.524861878,6.93E-03,17140800,73399,9.85E-03,35736000,50238,1.02E-03,1525600,154999
172,5.813953488,7.30E-03,17139520,68899,1.04E-02,35724800,44888,1.07E-03,1525600,145999
163,6.134969325,7.70E-03,17137600,64399,1.09E-02,35692480,37078,1.13E-03,1525600,136999
154,6.493506494,8.15E-03,17134080,58057,1.16E-02,35682240,27938,1.20E-03,1525280,127999
145,6.896551724,8.50E-03,17142720,51297,1.23E-02,35673920,19199,1.27E-03,1525280,118999
136,7.352941176,9.12E-03,17241600,42177,1.31E-02,35666720,15626,1.35E-03,1525280,109999
127,7.874015748,9.70E-03,17025280,33596,1.40E-02,35686400,14930,1.45E-03,1525600,100999
118,8.474576271,1.04E-02,17126080,23739,1.51E-02,35672800,14700,1.56E-03,1525600,91996
109,9.174311927,1.13E-02,17139520,15822,1.63E-02,35646080,8156,1.70E-03,1519520,83882
100,10,1.23E-02,17204480,8477,1.78E-02,35668000,6778,1.86E-03,1519520,74882
91,10.98901099,1.40E-02,17177600,772,1.96E-02,35693600,4204,2.04E-03,1519520,65882
82,12.19512195,1.50E-02,17209920,220,2.16E-02,35693120,27,2.24E-03,1523680,56408
73,13.69863014,1.65E-02,17002400,737,2.43E-02,35591360,1058,2.50E-03,1523040,49024
64,15.625,1.92E-02,17255680,6343,2.72E-02,36071840,10,2.85E-03,1521760,38384
55,18.18181818,2.18E-02,16880800,6,3.32E-02,36293920,4,3.33E-03,1524320,29667
46,21.73913043,2.54E-02,17041600,23,3.97E-02,36336320,1,3.98E-03,1526560,20908
37,27.02702703,3.23E-02,16898400,26,4.98E-02,36346080,4,4.94E-03,1525440,10747
28,35.71428571,3.74E-02,17050720,0,6.31E-02,36813280,0,6.53E-03,1508960,3603
19,52.63157895,7.16E-02,18693600,-1626,9.53E-02,37252640,-8431,9.61E-03,1519040,52
10,100,1.42E-01,18788800,-11327,1.86E-01,38255520,-17214,2.15E-02,1750560,-1900
10,100,1.42E-01,18788800,-11327,1.86E-01,38255520,-17214,2.15E-02,1750560,-1900
9,111.1111111,1.57E-01,18933760,-12159,2.08E-01,38196800,-18523,2.22E-02,1688480,-2955
8,125,1.77E-01,18878240,-12996,2.38E-01,38036000,-19461,2.75E-02,1768320,-3752
7,142.8571429,1.94E-01,18743840,-14260,2.63E-01,37731200,-20756,3.13E-02,1766560,-4637
6,166.6666667,2.36E-01,18755360,-15168,3.06E-01,37601280,-22057,3.50E-02,1723040,-5810
5,200,2.76E-01,18814080,-16133,3.75E-01,38168800,-22330,4.18E-02,1718080,-7110
4,250,3.39E-01,19044320,-17220,4.65E-01,38065920,-23582,5.32E-02,1761760,-8093
3,333.3333333,4.56E-01,19041440,-18229,6.33E-01,38063520,-24518,7.10E-02,1737920,-9307
2,500,7.07E-01,19135520,-18987,9.51E-01,38426080,-25181,1.07E-01,1736160,-10234
1,1000,1.41E+00,19071360,-20123,1.90E+00,38276480,-26535,2.14E-01,1759680,-11193
